"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1","47µF","","FormantKO:CP_Radial_Tantal_P200mil","1",""
"C2","100n","","IMNOTWOPR:C_Rect_P200mil","1",""
"C3","100nF","","IMNOTWOPR:C_Rect_P200mil","1",""
"D1","PWR STANDBY","","IMNOTWOPR:PanelConnector_1x02","1",""
"D2","PWR OK","","IMNOTWOPR:PanelConnector_1x02","1",""
"J1","CardConnector","","IMNOTWOPR:SystemConector_Male","1",""
"JP1","I2C PULLUP","","IMNOTWOPR:Jumper_1x02","1",""
"MES1","+5V METER","","IMNOTWOPR:PanelConnector_1x02","1",""
"MES2","+12V METER","","IMNOTWOPR:PanelConnector_1x02","1",""
"MES3","-12V METER","","IMNOTWOPR:PanelConnector_1x02","1",""
"MES4","+12V2 METER","","IMNOTWOPR:PanelConnector_1x02","1",""
"MH1","CardBracket","","IMNOTWOPR:CardBracket","1",""
"R1,R2,R3","1kΩ","","IMNOTWOPR:R_Axial_DIN0207_P400mil","3",""
"R4,R5","4k7Ω","","IMNOTWOPR:R_Axial_DIN0207_P400mil","2",""
"SW1","PWR ON","","IMNOTWOPR:PanelConnector_1x03","1",""
"SW2","RESET","","IMNOTWOPR:PanelConnector_1x03","1",""
"U1","74HCT00","http://www.ti.com/lit/gpn/sn74hc00","IMNOTWOPR:DIP-14N","1",""
